"Num_Auto_Mvt","Num_Mvt","Mvt","MT_Chiffre_Mvt_R","MT_Chiffre_Mvt_D","MT_Lttre_Mvt","Motif_Mvt","Date_Mvt","Date_Mvt1","Code_Service","Service_Mvt","Solde_Av_Mvt","Solde_Av_Mvt1","Solde_Ap_Mvt","Solde_Ap_Mvt1","Heure_Mvt","Benef_Mvt","Code_Rubrique","Rubrique_Mvt","MODIF"
"2831","2402","Dépenses","0","6,66","Dollars américains six point soixante six","Ration sécurité","05/01/2012 00:00:00","2012/01/05","Secu","Sécurité","245,3","245,3","238,64","238,64","30/12/1899 10:05:04","B52/04/01","53","Ration sécurité",""
"2832","430","Recettes","400","0","Dollars américains quatre cents","Prestation de sciage ","05/01/2012 00:00:00","2012/01/05","Sc","Sciérie","238,64","238,64","638,64","638,64","30/12/1899 10:55:21","Mme LOUISE Matsuela","1","Prestation de sciage ",""
"2833","2403","Dépenses","0","105","Dollars américains cent et cinq","Achat  Hydrant","05/01/2012 00:00:00","2012/01/05","Sc","Sciérie","638,64","638,64","533,64","533,64","30/12/1899 10:56:26","Tweva","163","Achat  Hydrant",""
"2834","2404","Dépenses","0","82","Dollars américains quatre vingt deux ","Achat baguette castolines","05/01/2012 00:00:00","2012/01/05","Tech","Technique","533,64","533,64","451,64","451,64","30/12/1899 10:57:36","Tweva p/c Etat de besoin remorque 1","11","Achat baguette castolines",""
"2835","2405","Dépenses","0","3,33","Dollars américains trois point trente trois","Transport courses de service","05/01/2012 00:00:00","2012/01/05","Pers","Personnel","451,64","451,64","448,31","448,31","30/12/1899 10:58:54","Tweva","9","Transport courses de service",""
"2836","2406","Dépenses","0","15","Dollars américains quinze","Achat Contacteur","05/01/2012 00:00:00","2012/01/05","Sc","Sciérie","448,31","448,31","433,31","433,31","30/12/1899 11:20:41","Moïse MIKANZU","160","Achat Contacteur",""
"2837","2407","Dépenses","0","300","Dollars américains trois cents","Versement BIAC","05/01/2012 00:00:00","2012/01/05","Biac","BIAC","433,31","433,31","133,31","133,31","30/12/1899 13:38:33","TWEVA","56","Versement BIAC",""
"2838","2408","Dépenses","0","5,55","Dollars américains cinq point cinquante cinq","Prélèvement Président","05/01/2012 00:00:00","2012/01/05","Pres","Président","133,31","133,31","127,76","127,76","30/12/1899 13:39:12","TWEVA P/C Achat ananas","45","Prélèvement Président",""
"2839","2409","Dépenses","0","0,5","Dollars américains zéro point cinq","Prélèvement Président","05/01/2012 00:00:00","2012/01/05","Pres","Président","127,76","127,76","127,26","127,26","30/12/1899 13:39:47","Kilo","45","Prélèvement Président",""
"2840","2410","Dépenses","0","3,33","Dollars américains trois point trente trois","Communication de service","05/01/2012 00:00:00","2012/01/05","Bur","Bureau","127,26","127,26","123,93","123,93","30/12/1899 13:40:20","Gérant","8","Communication de service",""
"2841","431","Recettes","35","0","Dollars américains trente cinq","Prestation de sciage ","05/01/2012 00:00:00","2012/01/05","Sc","Sciérie","123,93","123,93","158,93","158,93","30/12/1899 14:48:31","Louise matsuela","1","Prestation de sciage ",""
"2842","2411","Dépenses","0","1,88","Dollars américains un point quatre vingt huit","Prélèvement Président","05/01/2012 00:00:00","2012/01/05","Pres","Président","158,93","158,93","157,05","157,05","30/12/1899 15:29:55","Kilo/Achat bananes","45","Prélèvement Président",""
"2843","2412","Dépenses","0","6,66","Dollars américains six point soixante six","Ration sécurité","05/01/2012 00:00:00","2012/01/05","Secu","Sécurité","157,05","157,05","150,39","150,39","30/12/1899 15:40:06","MBAYA","53","Ration sécurité",""
"2844","432","Recettes","100","0","Dollars américains cent","Prestation de sciage ","05/01/2012 00:00:00","2012/01/05","Sc","Sciérie","150,39","150,39","250,39","250,39","30/12/1899 16:22:17","Louise MATSUELA","1","Prestation de sciage ",""
"2845","2413","Dépenses","0","63","Dollars américains soixante trois","Achat  Hydrant","05/01/2012 00:00:00","2012/01/05","Sc","Sciérie","250,39","250,39","187,39","187,39","30/12/1899 16:24:16","Fiston LUFE","163","Achat  Hydrant",""
"2846","2414","Dépenses","0","20","Dollars américains vingt ","Achat huile hydraulique Poclain","05/01/2012 00:00:00","2012/01/05","Gar","Garage","187,39","187,39","167,39","167,39","30/12/1899 16:53:20","Tweva","36","Achat huile hydraulique Poclain",""
"2847","2415","Dépenses","0","10","Dollars américains dix","Collation équipe en déplacement","05/01/2012 00:00:00","2012/01/05","Gar","Garage","167,39","167,39","157,39","157,39","30/12/1899 17:09:54","Guillaume P/C mardi 03","195","Collation équipe en déplacement",""
"2848","2416","Dépenses","0","5,55","Dollars américains cinq mille","Communication de service","05/01/2012 00:00:00","2012/01/05","Bur","Bureau","157,39","157,39","151,84","151,84","30/12/1899 17:10:39","Gérant/Mardi 03","8","Communication de service",""
"2849","2417","Dépenses","0","14","Dollars américains quatorze","Achat gasoil 950","05/01/2012 00:00:00","2012/01/05","Sc","Sciérie","151,84","151,84","137,84","137,84","30/12/1899 18:16:32","Tweva/Ajout gasoil manutention","211","Achat gasoil 950",""
"2850","2418","Dépenses","0","2,22","Dollars américains deux point vingt deux ","M.O extérieure","05/01/2012 00:00:00","2012/01/05","Bur","Bureau","137,84","137,84","135,62","135,62","30/12/1899 18:40:37","Yasser","113","M.O extérieure",""
"2851","2419","Dépenses","0","20","Dollars américains vingt","Electricité/SNEL","06/01/2012 00:00:00","2012/01/06","Elec","Electricité","135,62","135,62","115,62","115,62","30/12/1899 08:47:58","Bigas ","41","Electricité/SNEL",""
"2852","2420","Dépenses","0","50","Dollars américains cinquante ","Achat gasoil courses de service","06/01/2012 00:00:00","2012/01/06","Gar","Garage","115,62","115,62","65,62","65,62","30/12/1899 08:50:10","Tweva","115","Achat gasoil courses de service",""
"2853","2421","Dépenses","0","11,11","Dollars américains onze point onze","Répération batterie","06/01/2012 00:00:00","2012/01/06","Gar","Garage","65,62","65,62","54,51","54,51","30/12/1899 08:51:06","Tweva /retrait batterie","208","Répération batterie",""
"2854","2422","Dépenses","0","10","Dollars américains dix","Collation équipe en déplacement","06/01/2012 00:00:00","2012/01/06","Gar","Garage","54,51","54,51","44,51","44,51","30/12/1899 08:51:30","Tweva","195","Collation équipe en déplacement",""
"2855","2423","Dépenses","0","3,89","Dollars américains trois point quatre vingt neuf ","Transport courses de service","06/01/2012 00:00:00","2012/01/06","Pers","Personnel","44,51","44,51","40,62","40,62","30/12/1899 08:52:05","Tweva","9","Transport courses de service",""
"2856","433","Recettes","100","0","Dollars américains cent","Prestation de sciage ","06/01/2012 00:00:00","2012/01/06","Sc","Sciérie","40,62","40,62","140,62","140,62","30/12/1899 09:00:48","Mme ADA","1","Prestation de sciage ",""
"2857","2424","Dépenses","0","20","Dollars américains vingt","Achat matériels de Bureau","06/01/2012 00:00:00","2012/01/06","Bur","Bureau","140,62","140,62","120,62","120,62","30/12/1899 10:39:07","LOLA/Cartes de visite Gérant","214","Achat matériels de Bureau",""
"2858","2425","Dépenses","0","7,77","Dollars américains sept point septante sept","Achat pièce de rechange D8","06/01/2012 00:00:00","2012/01/06","Gar","Garage","120,62","120,62","112,85","112,85","30/12/1899 10:54:30","Prosper/Soudure tuyau","111","Achat pièce de rechange D8",""
"2859","434","Recettes","10","0","Dollars américains dix","Electricité 13ème","06/01/2012 00:00:00","2012/01/06","Elec","Electricité","112,85","112,85","122,85","122,85","30/12/1899 11:08:39","Mme Claudine/Gloria","101","Electricité 13ème",""
"2860","435","Recettes","70","0","Dollars américains septante ","Loyer 13ème rue","06/01/2012 00:00:00","2012/01/06","Lo","Loyer","122,85","122,85","192,85","192,85","30/12/1899 11:33:25","Willy Shopping","6","Loyer 13ème rue",""
"2861","2426","Dépenses","0","10","Dollars américains dix","Electricité/SNEL","06/01/2012 00:00:00","2012/01/06","Elec","Electricité","192,85","192,85","182,85","182,85","30/12/1899 11:34:55","BIGAS ","41","Electricité/SNEL",""
"2862","2427","Dépenses","0","13","Dollars américains treize","Electricité/SNEL","06/01/2012 00:00:00","2012/01/06","Elec","Electricité","182,85","182,85","169,85","169,85","30/12/1899 11:53:06","Bigas","41","Electricité/SNEL",""
"2863","2428","Dépenses","0","25","Dollars américains vingt cinq","Communication Président","06/01/2012 00:00:00","2012/01/06","Pres","Président","169,85","169,85","144,85","144,85","30/12/1899 12:36:51","Tweva","54","Communication Président",""
"2864","2429","Dépenses","0","45","Dollars américains quarante cinq","Achat pièces de rechange scierie","06/01/2012 00:00:00","2012/01/06","Sc","Sciérie","144,85","144,85","99,85","99,85","30/12/1899 13:38:21","Kingudi/Chaine Tronçonneuse","185","Achat pièces de rechange scierie",""
"2865","2430","Dépenses","0","2,22","Dollars américains deux point vingt deux","Transport courses de service","06/01/2012 00:00:00","2012/01/06","Pers","Personnel","99,85","99,85","97,63","97,63","30/12/1899 13:40:50","Kingudi","9","Transport courses de service",""
"2866","2431","Dépenses","0","2,22","Dollars américains deux point vingt deux ","Communication de service","06/01/2012 00:00:00","2012/01/06","Bur","Bureau","97,63","97,63","95,41","95,41","30/12/1899 14:39:32","Gérant","8","Communication de service",""
"2867","2432","Dépenses","0","2,22","Dollars américains deux point vingt","Transport courses de service","06/01/2012 00:00:00","2012/01/06","Gar","Garage","95,41","95,41","93,19","93,19","30/12/1899 14:40:41","Jean Robert","9","Transport courses de service",""
"2868","436","Recettes","150","0","Dollars américains cent cinquante ","Location Véhicule","06/01/2012 00:00:00","2012/01/06","Gar","Garage","93,19","93,19","243,19","243,19","30/12/1899 15:27:31","Bombe","106","Location Véhicule",""
"2869","2433","Dépenses","0","150","Dollars américains cent cinquante","Versement TMB","06/01/2012 00:00:00","2012/01/06","Tmb","TMB","243,19","243,19","93,19","93,19","30/12/1899 15:30:35","Tweva","57","Versement TMB",""
"2870","2434","Dépenses","0","5","Dollars américains cinq","Transport agents","06/01/2012 00:00:00","2012/01/06","Pers","Personnel","93,19","93,19","88,19","88,19","30/12/1899 16:28:27","Tweva","135","Transport agents",""
"2871","2435","Dépenses","0","6,66","Dollars américains six point soixante six","Ration sécurité","06/01/2012 00:00:00","2012/01/06","Secu","Sécurité","88,19","88,19","81,53","81,53","30/12/1899 16:57:15","Chirro","53","Ration sécurité",""
"2872","2436","Dépenses","0","10","Dollars américains dix ","Divers remboursement ","07/01/2012 00:00:00","2012/01/07","Rm","Divers Remboursements","81,53","81,53","71,53","71,53","30/12/1899 09:05:26","Tweva","43","Divers remboursement ",""
"2873","2437","Dépenses","0","42","Dollars américains quarante deux","Transport courses de service","07/01/2012 00:00:00","2012/01/07","Gar","Garage","71,53","71,53","29,53","29,53","30/12/1899 09:16:10","Tweva + ration maluku","9","Transport courses de service",""
"2874","2438","Dépenses","0","28","Dollars américains vingt huit","Achat gasoil 950","07/01/2012 00:00:00","2012/01/07","Sc","Sciérie","29,53","29,53","1,53","1,53","30/12/1899 09:17:17","Tweva","211","Achat gasoil 950",""
"2875","437","Recettes","5","0","Dollars américains cinq","Electricité 13ème Tunel","07/01/2012 00:00:00","2012/01/07","Elec","Electricité","0","0","6,53","6,53","30/12/1899 09:24:34","FADE","120","Electricité 13ème Tunel",""
"2876","2439","Dépenses","0","2,22","Dollars américains deux point vingt deux ","Réparation pneu ","07/01/2012 00:00:00","2012/01/07","Gar","Garage","6,53","6,53","4,31","4,31","30/12/1899 09:45:01","Marcel/950","108","Réparation pneu ",""
"2877","2440","Dépenses","0","2,22","Dollars américains deux point vingt deux ","Achat Silicone","07/01/2012 00:00:00","2012/01/07","Gar","Garage","4,31","4,31","2,09","2,09","30/12/1899 09:45:44","Tweva","119","Achat Silicone",""
"2878","438","Recettes","105","0","Dollars américains cent et cinq","Apport Président","07/01/2012 00:00:00","2012/01/07","Pres","Président","2,09","2,09","107,09","107,09","30/12/1899 09:46:21","Guillaume","4","Apport Président",""
"2879","2441","Dépenses","0","12,78","Dollars américains douze point septante huit","Achat outils","07/01/2012 00:00:00","2012/01/07","Gar","Garage","107,09","107,09","94,31","94,31","30/12/1899 09:48:22","Magloire/fabrication clef pipettes ","97","Achat outils",""
"2880","2442","Dépenses","0","3,88","Dollars américains trois point quatre vingt huit","Achat carbure","07/01/2012 00:00:00","2012/01/07","Sc","Sciérie","94,31","94,31","90,43","90,43","30/12/1899 11:14:46","Mbiya","10","Achat carbure",""
"2881","2443","Dépenses","0","3,33","Dollars américains trois point trente trois","Achat outils","07/01/2012 00:00:00","2012/01/07","Gar","Garage","90,43","90,43","87,1","87,1","30/12/1899 11:19:53","Bombé/Clef","97","Achat outils",""
"2882","439","Recettes","150","0","Dollars américains cent cinquante","Location Véhicule","07/01/2012 00:00:00","2012/01/07","Gar","Garage","87,1","87,1","237,1","237,1","30/12/1899 11:23:08","Guillaume","106","Location Véhicule",""
"2883","2444","Dépenses","0","150","Dollars américains cent cinquante","Versement TMB","07/01/2012 00:00:00","2012/01/07","Tmb","TMB","237,1","237,1","87,1","87,1","30/12/1899 11:23:53","Tweva","57","Versement TMB",""
"2884","2445","Dépenses","0","1,11","Dollars américains un point onze","Réparatin pneu Mercedes","07/01/2012 00:00:00","2012/01/07","Gar","Garage","87,1","87,1","85,99","85,99","30/12/1899 11:53:52","Paul","48","Réparatin pneu Mercedes",""
"2885","2446","Dépenses","0","6,66","Dollars américains six point soixante six","Entretien Bureau","07/01/2012 00:00:00","2012/01/07","Bur","Bureau","85,99","85,99","79,33","79,33","30/12/1899 11:56:03","Tyna","92","Entretien Bureau",""
"2886","2447","Dépenses","0","6,66","Dollars américains six point soixante six ","Ration sécurité","07/01/2012 00:00:00","2012/01/07","Secu","Sécurité","79,33","79,33","72,67","72,67","30/12/1899 11:57:15","MBAYA","53","Ration sécurité",""
"2887","2448","Dépenses","0","36","Dollars américains trente six","Achat pièces de rechange scierie","07/01/2012 00:00:00","2012/01/07","Sc","Sciérie","72,67","72,67","36,67","36,67","30/12/1899 13:44:43","Mavakala","185","Achat pièces de rechange scierie",""
"2888","2449","Dépenses","0","5","Dollars américains cinq","Achat outils","07/01/2012 00:00:00","2012/01/07","Sc","Sciérie","36,67","36,67","31,67","31,67","30/12/1899 13:48:30","Mavakala/ajout achat clef","97","Achat outils",""
"2889","2450","Dépenses","0","1,88","Dollars américains un point quatr vingt huit","Transport courses de service","07/01/2012 00:00:00","2012/01/07","Pers","Personnel","31,67","31,67","29,79","29,79","30/12/1899 14:22:40","Tweva","9","Transport courses de service",""
"2890","2451","Dépenses","0","2,22","Dollars américains deux point vingt deux ","Achat baguettes ordinaires","07/01/2012 00:00:00","2012/01/07","Sc","Sciérie","29,79","29,79","27,57","27,57","30/12/1899 14:23:21","Mavakala","12","Achat baguettes ordinaires",""
"2891","440","Recettes","5","0","Dollars américains cinq","Electricité 13ème","07/01/2012 00:00:00","2012/01/07","Elec","Electricité","27,57","27,57","32,57","32,57","30/12/1899 14:44:36","NENE","101","Electricité 13ème",""
"2892","2452","Dépenses","0","10","Dollars américains dix","Heures supplémentaires","08/01/2012 00:00:00","2012/01/08","Sc","Sciérie","32,57","32,57","22,57","22,57","30/12/1899 12:56:25","Fiston LUFE","65","Heures supplémentaires",""
"2893","2453","Dépenses","0","6,66","Dollars américains six point soixante six","Ration sécurité","08/01/2012 00:00:00","2012/01/08","Secu","Sécurité","22,57","22,57","15,91","15,91","30/12/1899 12:57:41","Chirro","53","Ration sécurité",""
"2894","2454","Dépenses","0","8","Dollars américains huit","Transport agents","08/01/2012 00:00:00","2012/01/08","Pers","Personnel","15,91","15,91","7,91","7,91","30/12/1899 12:58:38","Tweva","135","Transport agents",""
"2895","441","Recettes","7500","0","Dollars américains sept mille cinq cents","Apport Président","09/01/2012 00:00:00","2012/01/09","Pres","Président","7,91","7,91","7507,91","7507,91","30/12/1899 10:21:52","Président","4","Apport Président",""
"2896","2455","Dépenses","0","1825","Dollars américains mille huit vingt cinq","Achat pièces de rechange","09/01/2012 00:00:00","2012/01/09","Gar","Garage","7507,91","7507,91","5682,91","5682,91","30/12/1899 10:25:26","Willy BANKAKA","98","Achat pièces de rechange",""
"2897","2456","Dépenses","0","240","Dollars américains deuix cents quarante ","Collation Pasteurs","09/01/2012 00:00:00","2012/01/09","Pres","Président","5682,91","5682,91","5442,91","5442,91","30/12/1899 10:26:10","Pasteur DAVID","123","Collation Pasteurs",""
"2898","2457","Dépenses","0","688","Dollars américains six cents quatre vingt huit","Achat pièces de rechange","09/01/2012 00:00:00","2012/01/09","Gar","Garage","5442,91","5442,91","4754,91","4754,91","30/12/1899 10:47:26","Gérant","98","Achat pièces de rechange",""
"2899","442","Recettes","500","0","Dollars américains cinq cents ","Apport Président","09/01/2012 00:00:00","2012/01/09","Lo","Loyer","4754,91","4754,91","5254,91","5254,91","30/12/1899 11:13:31","Merma/Loyer Kikwit","4","Apport Président",""
"2900","2458","Dépenses","0","100","Dollars américains cent","Prélèvement Président","09/01/2012 00:00:00","2012/01/09","Pres","Président","5254,91","5254,91","5154,91","5154,91","30/12/1899 11:14:51","Kembo/Merma","45","Prélèvement Président",""
"2901","2459","Dépenses","0","400","Dollars américains quatre cents","Prélèvement Président","09/01/2012 00:00:00","2012/01/09","Pres","Président","5154,91","5154,91","4754,91","4754,91","30/12/1899 11:20:47","Kembo","45","Prélèvement Président",""
"2902","2460","Dépenses","0","120","Dollars américains cent vingt","Prélèvement Président","09/01/2012 00:00:00","2012/01/09","Pres","Président","4754,91","4754,91","4634,91","4634,91","30/12/1899 11:21:42","Kololo","45","Prélèvement Président",""
"2903","2461","Dépenses","0","4600","Dollars américains quatre mille six cents","Prélèvement Président","09/01/2012 00:00:00","2012/01/09","Pres","Président","4634,91","4634,91","34,9099999999999","34,9099999999999","30/12/1899 11:25:18","Merma P/C Alpha","45","Prélèvement Président",""
"2904","443","Recettes","5","0","Dollars américains cinq","Electricité 13ème","09/01/2012 00:00:00","2012/01/09","Elec","Electricité","34,9099999999999","34,9099999999999","39,9099999999999","39,9099999999999","30/12/1899 11:41:57","NENE","101","Electricité 13ème",""
"2905","2462","Dépenses","0","6,66","Dollars américains six point soixante six","Ration sécurité","09/01/2012 00:00:00","2012/01/09","Secu","Sécurité","39,9099999999999","39,9099999999999","33,2499999999999","33,2499999999999","30/12/1899 14:47:45","Shellah","53","Ration sécurité",""
"2906","444","Recettes","100","0","Dollars américains cent","Location Véhicule","10/01/2012 00:00:00","2012/01/10","Gar","Garage","33,2499999999999","33,2499999999999","133,25","133,25","30/12/1899 09:00:48","Bombé","106","Location Véhicule",""
"2907","445","Recettes","10","0","Dollars américains dix","Electricité 13ème","10/01/2012 00:00:00","2012/01/10","Elec","Electricité","133,25","133,25","143,25","143,25","30/12/1899 09:01:18","Shopping","101","Electricité 13ème",""
"2908","446","Recettes","12","0","Dollars américains douze","Electricité 13ème","10/01/2012 00:00:00","2012/01/10","Elec","Electricité","143,25","143,25","155,25","155,25","30/12/1899 09:01:41","Richard","101","Electricité 13ème",""
"2909","2463","Dépenses","0","22","Dollars américains vingt deux","Electricité/SNEL","10/01/2012 00:00:00","2012/01/10","Elec","Electricité","155,25","155,25","133,25","133,25","30/12/1899 09:56:17","Bigas","41","Electricité/SNEL",""
"2910","2464","Dépenses","0","42,5","Dollars américains quarante deux point cinq","Achat gasoil courses de service","10/01/2012 00:00:00","2012/01/10","Gar","Garage","133,25","133,25","90,75","90,75","30/12/1899 10:04:06","Tweva","115","Achat gasoil courses de service",""
"2911","2465","Dépenses","0","20","Dollars américains vingt","Achat pièces de rechange","10/01/2012 00:00:00","2012/01/10","Gar","Garage","90,75","90,75","70,75","70,75","30/12/1899 10:05:54","Tweva/Ambout Poclain ","98","Achat pièces de rechange",""
"2912","2466","Dépenses","0","3","Dollars américains trois ","Achat baguette castolines","10/01/2012 00:00:00","2012/01/10","Gar","Garage","70,75","70,75","67,75","67,75","30/12/1899 10:06:19","Tweva","11","Achat baguette castolines",""
"2913","2467","Dépenses","0","2","Dollars américains deux","Achat baguettes ordinaires","10/01/2012 00:00:00","2012/01/10","Gar","Garage","67,75","67,75","65,75","65,75","30/12/1899 10:07:00","Tweva/Mercedes ","12","Achat baguettes ordinaires",""
"2914","2468","Dépenses","0","3,88","Dollars américains trois point quatre vi,ngt huit","Achat Disque à couper","10/01/2012 00:00:00","2012/01/10","Gar","Garage","65,75","65,75","61,87","61,87","30/12/1899 10:08:04","Tweva/Mercedes","13","Achat Disque à couper",""
"2915","2469","Dépenses","0","28,33","Dollars américains vingt huit point trente trois ","Achat gasoil Poclain ","10/01/2012 00:00:00","2012/01/10","Sc","Sciérie","61,87","61,87","33,54","33,54","30/12/1899 10:08:45","Tweva/manutention ","14","Achat gasoil Poclain ",""
"2916","2470","Dépenses","0","3,88","Dollars américains trois point quatre vingt huit ","Achat Disque à couper","10/01/2012 00:00:00","2012/01/10","Sc","Sciérie","33,54","33,54","29,66","29,66","30/12/1899 10:09:26","Tweva","13","Achat Disque à couper",""
"2917","2471","Dépenses","0","6,66","Dollars américains six point soixante six ","Achat carbure","10/01/2012 00:00:00","2012/01/10","Sc","Sciérie","29,66","29,66","23","23","30/12/1899 10:10:06","Tweva","10","Achat carbure",""
"2918","447","Recettes","200","0","Dollars américains deux cents","Location Véhicule","10/01/2012 00:00:00","2012/01/10","Gar","Garage","23","23","223","223","30/12/1899 10:27:04","Maman SONO Rose/Grumier","106","Location Véhicule",""
"2919","2472","Dépenses","0","6,66","Dollars américains six point soixante six","Transport courses de service","10/01/2012 00:00:00","2012/01/10","Gar","Garage","223","223","216,34","216,34","30/12/1899 10:29:48","Tweva","9","Transport courses de service",""
"2920","2473","Dépenses","0","160","Dollars américains cent soixante","Versement TMB","10/01/2012 00:00:00","2012/01/10","Tmb","TMB","216,34","216,34","56,34","56,34","30/12/1899 10:31:57","Tweva","57","Versement TMB",""
"2921","2474","Dépenses","0","40","Dollars américains quarante","Achat gasoil DAF","10/01/2012 00:00:00","2012/01/10","Gar","Garage","56,34","56,34","16,34","16,34","30/12/1899 10:32:56","Tweva","20","Achat gasoil DAF",""
"2922","2475","Dépenses","0","3,33","Dollars américains trois point trente trois","Achat Gasoil Mitsubishi","10/01/2012 00:00:00","2012/01/10","Gar","Garage","16,34","16,34","13,01","13,01","30/12/1899 10:35:56","Tweva","25","Achat Gasoil Mitsubishi",""
"2923","2476","Dépenses","0","1","Dollars américains un ","Achat outils","10/01/2012 00:00:00","2012/01/10","Gar","Garage","13,01","13,01","12,01","12,01","30/12/1899 10:36:37","Tweva","97","Achat outils",""
"2924","2477","Dépenses","0","5,55","Dollars américains cinq point cinquante cinq","Prélèvement Président","10/01/2012 00:00:00","2012/01/10","Pres","Président","12,01","12,01","6,46","6,46","30/12/1899 11:46:39","Willy BANKAKA/Achat ananas","45","Prélèvement Président",""
"2925","2478","Dépenses","0","3,88","Dollars américains tris point quatre vingt huit","Transport courses de service","10/01/2012 00:00:00","2012/01/10","Bur","Bureau","6,46","6,46","2,58","2,58","30/12/1899 11:52:39","Guillaume","9","Transport courses de service",""
"2926","448","Recettes","200","0","Dollars américains deux cents","Prestation de sciage ","10/01/2012 00:00:00","2012/01/10","Sc","Sciérie","2,58","2,58","202,58","202,58","30/12/1899 11:54:27","Mme Louise Matsuela","1","Prestation de sciage ",""
